outcome,trust,stub,step,ord,N_after
ln_tot_inc_final_2020,trust_pc1,pc1,+ race_eth,7,503
ln_tot_inc_final_2020,trust_pc2,pc2,BASE(outcome+trust),0,508
ln_tot_inc_final_2020,trust_pc2,pc2,+ age_2020,1,508
ln_tot_inc_final_2020,trust_pc2,pc2,+ gender,2,508
ln_tot_inc_final_2020,trust_pc2,pc2,+ educ_yrs,3,505
ln_tot_inc_final_2020,trust_pc2,pc2,+ married_2020,4,505
ln_tot_inc_final_2020,trust_pc2,pc2,+ born_us,5,505
ln_tot_inc_final_2020,trust_pc2,pc2,+ inlbrf_2020,6,504
ln_tot_inc_final_2020,trust_pc2,pc2,+ race_eth,7,503
ln_tot_inc_final_2020,trust_social_security_2020,social_security,BASE(outcome+trust),0,967
ln_tot_inc_final_2020,trust_social_security_2020,social_security,+ age_2020,1,967
ln_tot_inc_final_2020,trust_social_security_2020,social_security,+ gender,2,967
ln_tot_inc_final_2020,trust_social_security_2020,social_security,+ educ_yrs,3,960
ln_tot_inc_final_2020,trust_social_security_2020,social_security,+ married_2020,4,960
ln_tot_inc_final_2020,trust_social_security_2020,social_security,+ born_us,5,960
ln_tot_inc_final_2020,trust_social_security_2020,social_security,+ inlbrf_2020,6,958
ln_tot_inc_final_2020,trust_social_security_2020,social_security,+ race_eth,7,957
